headline,summary,url
24 oktober 2021 - Mycket på spel när pressad sektor visar korten,"En ny rapportvecka står för dörren. På tur står spel- och dobbelbolagen, med jätten Evolution i spetsen och så småningom även data- och mobilspelsbolagen.Ska man tro analytikerna står båda dessa pressade sektorer inför en uppvärdering, den högsta genomsnittliga uppsidan för ett bolag är hela 121 procent.",/analys/mycket-pa-spel-nar-pressad-sektor-visar-korten/
11 oktober 2021 - Spelaktier rasar efter skattebeslut – här är bolagen som tar största smällen,Spel- och bettingbolag faller tungt på måndagen sedan OECD-länderna kommit överens om en global minimiskatt på 15 procent. Carnegie har listat bolagen som påverkas mest av skattesmällen. Bland förlorarna syns bland annat kasinojätten Evolution som rasar över 6 procent. ,/nyheter/spelaktier-rasar-efter-skattebeslut-har-ar-bolagen-som-tar-storsta-smallen/
1 oktober 2021 - Leovegas tilldelas förnyade spellicenser i Danmark,Leovegas har tilldelats förnyade spellicenser av spelmyndigheten i Danmark. Licenserna gäller över fem år. Det framgår av ett pressmeddelande.,/live/leovegas-tilldelas-fornyade-spellicenser-i-danmark/
22 september 2021 - Styrelseledamot i Leovegas köper aktier,"Torsten Söderberg, styrelseledamot i Leo Vegas, köpte på tisdagen 25.000 aktier i bolaget. Affären var värd knappt 0,9 miljoner kronor.",/nyheter/styrelseledamot-i-leovegas-koper-aktier/
21 september 2021 - Norge föreslår blockering av spelsajter – svenska bettingbolag tappar,"De svenska spelbolagen tappar på tisdagen i kölvattnet av ett norskt förslag om att blockera utländska spelsajter.Betssons vd Pontus Lindwall säger att bolagets verksamhet i Norge inte är olaglig, och att man tänker ta strid för sin sak på den norska marknaden.",/live/norge-foreslar-blockering-av-spelsajter-svenska-bettingbolag-tappar/
16 september 2021 - Uppåt för spelsektorn – Betsson och Evolution stiger,De stora aktörerna i spelsektorn stiger på Stockholmsbörsen på torsdagen. I bräschen går Betsson efter morgonens budrykte och Evolution som rekylerar upp efter Kinarelaterad nedåtpress tidigare i veckan.,/live/uppat-for-spelsektorn-betsson-och-evolution-stiger/
9 september 2021 - Analytikerns bästa aktie för jättemarknaden: ”Kommer att dominera”,"Pareto har slaktat Kambis riktkurs efter bakslaget i USA. Men analytikern Marlon Värnik ser fortfarande den svenska sportboksleverantören som köpvärd med rejäl uppsida.Det finns dock betydligt hetare svenska aktier att plocka nu om man vill ta rygg på den gigantiska marknaden i USA, säger han. ",/nyheter/analytikerns-basta-aktie-for-jattemarknaden-kommer-att-dominera/
8 september 2021 - Lista: Nio aktier där alla analytiker säger köp,"Vad ska man köpa efter 1,5 år av börsuppgång? Analytikerkåren har i alla fall sina tydliga favoriter. Di listar nio aktier där alla proffsen säger köp – med uppsidor på upp till nästan 200 procent.”Det finns ytterligare potential”, säger Marlon Värnik, analytiker på Pareto securities, om ett storbolag som har rusat med nästan 100 procent i år.",/nyheter/lista-nio-aktier-dar-alla-analytiker-sager-kop/
3 september 2021 - Leovegas vill utöka befintligt obligationslån,"Leovegas undersöker möjligheten att utöka bolagets existerande obligationslån om 500 miljoner kronor, under ett ramverk om 800 miljoner kronor, med ytterligare 100 miljoner kronor. ",/live/leovegas-vill-utoka-befintligt-obligationslan/
12 augusti 2021 - Två insynsköp i Leo Vegas,"Leo Vegas styrelseordförande Per Norman och finanschef Stefan Nelson har på torsdagen köpt aktier i mobilkasinobolaget till ett samlat värde av drygt 0,5 miljoner kronor.Det framgår av Finansinspektionens insynsrapportering.",/live/tva-insynskop-i-leo-vegas/
